# Tau / ps;  Linear Fit to MSD / pm^2
30.0100;  43591.7023
30.1604;  43681.0838
30.3109;  43770.4653
30.4613;  43859.8468
30.6117;  43949.2282
30.7621;  44038.6097
30.9126;  44127.9912
31.0630;  44217.3727
31.2134;  44306.7542
31.3638;  44396.1356
31.5143;  44485.5171
31.6647;  44574.8986
31.8151;  44664.2801
31.9655;  44753.6616
32.1160;  44843.0430
32.2664;  44932.4245
32.4168;  45021.8060
32.5672;  45111.1875
32.7177;  45200.5690
32.8681;  45289.9504
33.0185;  45379.3319
33.1689;  45468.7134
33.3194;  45558.0949
33.4698;  45647.4764
33.6202;  45736.8578
33.7707;  45826.2393
33.9211;  45915.6208
34.0715;  46005.0023
34.2219;  46094.3838
34.3724;  46183.7652
34.5228;  46273.1467
34.6732;  46362.5282
34.8236;  46451.9097
34.9741;  46541.2912
35.1245;  46630.6726
35.2749;  46720.0541
35.4253;  46809.4356
35.5758;  46898.8171
35.7262;  46988.1986
35.8766;  47077.5800
36.0270;  47166.9615
36.1775;  47256.3430
36.3279;  47345.7245
36.4783;  47435.1060
36.6287;  47524.4874
36.7792;  47613.8689
36.9296;  47703.2504
37.0800;  47792.6319
37.2305;  47882.0134
37.3809;  47971.3948
37.5313;  48060.7763
37.6817;  48150.1578
37.8322;  48239.5393
37.9826;  48328.9208
38.1330;  48418.3022
38.2834;  48507.6837
38.4339;  48597.0652
38.5843;  48686.4467
38.7347;  48775.8282
38.8851;  48865.2096
39.0356;  48954.5911
39.1860;  49043.9726
39.3364;  49133.3541
39.4868;  49222.7356
39.6373;  49312.1170
39.7877;  49401.4985
39.9381;  49490.8800
40.0885;  49580.2615
40.2390;  49669.6430
40.3894;  49759.0244
40.5398;  49848.4059
40.6903;  49937.7874
40.8407;  50027.1689
40.9911;  50116.5504
41.1415;  50205.9318
41.2920;  50295.3133
41.4424;  50384.6948
41.5928;  50474.0763
41.7432;  50563.4578
41.8937;  50652.8392
42.0441;  50742.2207
42.1945;  50831.6022
42.3449;  50920.9837
42.4954;  51010.3652
42.6458;  51099.7466
42.7962;  51189.1281
42.9466;  51278.5096
43.0971;  51367.8911
43.2475;  51457.2726
43.3979;  51546.6540
43.5483;  51636.0355
43.6988;  51725.4170
43.8492;  51814.7985
43.9996;  51904.1800
44.1501;  51993.5614
44.3005;  52082.9429
44.4509;  52172.3244
44.6013;  52261.7059
44.7518;  52351.0874
44.9022;  52440.4688
45.0526;  52529.8503
45.2030;  52619.2318
45.3535;  52708.6133
45.5039;  52797.9948
45.6543;  52887.3762
45.8047;  52976.7577
45.9552;  53066.1392
46.1056;  53155.5207
46.2560;  53244.9022
46.4064;  53334.2836
46.5569;  53423.6651
46.7073;  53513.0466
46.8577;  53602.4281
47.0081;  53691.8096
47.1586;  53781.1910
47.3090;  53870.5725
47.4594;  53959.9540
47.6098;  54049.3355
47.7603;  54138.7170
47.9107;  54228.0984
48.0611;  54317.4799
48.2116;  54406.8614
48.3620;  54496.2429
48.5124;  54585.6244
48.6628;  54675.0058
48.8133;  54764.3873
48.9637;  54853.7688
49.1141;  54943.1503
49.2645;  55032.5318
49.4150;  55121.9132
49.5654;  55211.2947
49.7158;  55300.6762
49.8662;  55390.0577
50.0167;  55479.4392
50.1671;  55568.8206
50.3175;  55658.2021
50.4679;  55747.5836
50.6184;  55836.9651
50.7688;  55926.3466
50.9192;  56015.7280
51.0696;  56105.1095
51.2201;  56194.4910
51.3705;  56283.8725
51.5209;  56373.2540
51.6714;  56462.6354
51.8218;  56552.0169
51.9722;  56641.3984
52.1226;  56730.7799
52.2731;  56820.1614
52.4235;  56909.5428
52.5739;  56998.9243
52.7243;  57088.3058
52.8748;  57177.6873
53.0252;  57267.0688
53.1756;  57356.4502
53.3260;  57445.8317
53.4765;  57535.2132
53.6269;  57624.5947
53.7773;  57713.9762
53.9277;  57803.3576
54.0782;  57892.7391
54.2286;  57982.1206
54.3790;  58071.5021
54.5294;  58160.8835
54.6799;  58250.2650
54.8303;  58339.6465
54.9807;  58429.0280
55.1312;  58518.4095
55.2816;  58607.7909
55.4320;  58697.1724
55.5824;  58786.5539
55.7329;  58875.9354
55.8833;  58965.3169
56.0337;  59054.6983
56.1841;  59144.0798
56.3346;  59233.4613
56.4850;  59322.8428
56.6354;  59412.2243
56.7858;  59501.6057
56.9363;  59590.9872
57.0867;  59680.3687
57.2371;  59769.7502
57.3875;  59859.1317
57.5380;  59948.5131
57.6884;  60037.8946
57.8388;  60127.2761
57.9892;  60216.6576
58.1397;  60306.0391
58.2901;  60395.4205
58.4405;  60484.8020
58.5910;  60574.1835
58.7414;  60663.5650
58.8918;  60752.9465
59.0422;  60842.3279
59.1927;  60931.7094
59.3431;  61021.0909
59.4935;  61110.4724
59.6439;  61199.8539
59.7944;  61289.2353
59.9448;  61378.6168
