# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 21164.168237
0.060020; 1270.273378; 38801.270308
0.120040; 3599.125621; 34900.006740
0.180060; 5693.824026; 23828.061051
0.240080; 7123.984250; 17421.818597
0.300100; 8169.641802; 15302.723235
0.360120; 9088.111251; 13254.214496
0.420140; 9883.629205; 9531.563094
0.480160; 10455.713622; 6084.786578
0.540180; 10820.922512; 4340.039831
0.600200; 11081.411703; 3436.067467
0.660220; 11287.644472; 2629.146690
0.720240; 11445.445857; 2058.817498
0.780260; 11569.016083; 1570.551250
0.840280; 11663.280569; 1208.028678
0.900300; 11735.786450; 1215.755617
0.960320; 11808.756102; 1551.659714
1.020340; 11901.886718; 1823.370572
1.080360; 12011.325420; 1840.402551
1.140380; 12121.786381; 1714.443349
1.200400; 12224.687271; 1682.034160
1.260420; 12325.642961; 1774.247052
1.320440; 12432.133269; 1816.423406
1.380460; 12541.155002; 1792.858846
1.440480; 12648.762390; 1725.110735
1.500500; 12752.303537; 1627.605974
1.560520; 12849.992447; 1561.340096
1.620540; 12943.704080; 1573.981215
1.680560; 13038.174432; 1643.474885
1.740580; 13136.815795; 1653.181501
1.800600; 13236.039748; 1554.678729
1.860620; 13329.351566; 1448.367736
1.920640; 13416.282597; 1403.036917
1.980660; 13500.492873; 1371.118505
2.040680; 13582.787406; 1278.648095
2.100700; 13659.531864; 1161.703130
2.160720; 13729.257286; 1085.387264
2.220740; 13794.402230; 1112.087533
2.280760; 13861.149724; 1228.205181
2.340780; 13934.866599; 1364.671476
2.400800; 14016.774180; 1463.227528
2.460820; 14104.597097; 1478.787164
2.520840; 14193.353902; 1516.572483
2.580860; 14284.378583; 1590.597028
2.640880; 14379.846216; 1647.645598
2.700900; 14478.737905; 1671.020988
2.760920; 14579.032585; 1723.758476
2.820940; 14682.492569; 1728.153005
2.880960; 14786.216312; 1679.111092
2.940980; 14886.996560; 1567.523646
3.001000; 14981.079329; 1513.540192
3.061020; 15071.922011; 1524.154015
3.121040; 15163.401735; 1520.190171
3.181060; 15254.643549; 1434.266735
3.241080; 15340.728239; 1336.474575
3.301100; 15420.943443; 1264.498067
3.361120; 15496.838617; 1254.311464
3.421140; 15572.122391; 1238.747905
3.481160; 15646.472040; 1235.475589
3.541180; 15720.625285; 1289.908466
3.601200; 15798.045591; 1347.951040
3.661220; 15878.949612; 1372.227742
3.721240; 15961.310722; 1367.564290
3.781260; 16043.391930; 1380.197194
3.841280; 16126.231366; 1402.788932
3.901300; 16210.426758; 1436.724874
3.961320; 16296.658984; 1467.671126
4.021340; 16384.748605; 1470.241633
4.081360; 16472.992508; 1452.350889
4.141380; 16560.162609; 1434.429586
4.201400; 16646.257072; 1410.789053
4.261420; 16730.932631; 1396.612356
4.321440; 16814.757305; 1396.208427
4.381460; 16898.557735; 1373.070301
4.441480; 16980.969414; 1330.354395
4.501500; 17060.817285; 1228.207393
4.561520; 17134.534293; 1085.916026
4.621540; 17199.710973; 986.164571
4.681560; 17258.900570; 947.879203
4.741580; 17315.792280; 911.119202
4.801600; 17370.477654; 874.507475
4.861620; 17422.965593; 864.745324
4.921640; 17474.867607; 904.999539
4.981660; 17529.185680; 1000.334402
5.041680; 17589.225751; 1088.030503
5.101700; 17654.529341; 1102.404011
5.161720; 17720.695630; 1130.247947
5.221740; 17788.533112; 1178.700556
5.281760; 17859.278719; 1230.056277
5.341780; 17933.106697; 1223.909694
5.401800; 18006.565757; 1197.939214
5.461820; 18078.466068; 1202.118318
5.521840; 18150.617210; 1238.202782
5.581860; 18224.934141; 1272.519629
5.641880; 18301.310769; 1287.167138
5.701900; 18378.566541; 1269.192523
5.761920; 18454.743476; 1208.874635
5.821940; 18527.300131; 1138.150069
5.881960; 18595.611899; 1074.101246
5.941980; 18660.079455; 1055.486816
6.002000; 18723.429774; 1066.917562
6.062020; 18787.466166; 1099.620160
6.122040; 18853.465368; 1204.861624
6.182060; 18925.781163; 1308.743910
6.242080; 19004.331972; 1340.204341
6.302100; 19084.771037; 1280.247586
6.362120; 19161.611497; 1230.772484
6.422140; 19235.482461; 1153.171314
6.482160; 19304.695804; 1136.858422
6.542180; 19372.930046; 1123.075515
6.602200; 19440.337038; 1096.931338
6.662220; 19506.174857; 1038.333727
6.722240; 19568.495648; 1001.137623
6.782260; 19628.583928; 1027.293601
6.842280; 19690.242090; 1034.026595
6.902300; 19752.304366; 963.809069
6.962320; 19810.152186; 906.115177
7.022340; 19864.537219; 921.643590
7.082360; 19919.854267; 1029.605979
7.142380; 19981.651218; 1137.901417
7.202400; 20049.948061; 1149.921530
7.262420; 20118.966352; 1081.025560
7.322440; 20183.849506; 1054.371074
7.382460; 20247.132858; 1093.151816
7.442480; 20312.743830; 1174.095191
7.502500; 20383.213023; 1206.829546
7.562520; 20455.646932; 1176.822991
7.622540; 20526.279848; 1146.993660
7.682560; 20595.122408; 1175.028897
7.742580; 20665.647642; 1247.775500
7.802600; 20740.539128; 1266.276420
7.862620; 20816.541038; 1217.285532
7.922640; 20889.602516; 1110.328899
7.982660; 20956.244456; 1017.345851
8.042680; 21017.305554; 998.509354
8.102700; 21077.236086; 987.277625
8.162720; 21136.492489; 1001.995943
8.222740; 21196.632285; 979.998020
8.282760; 21255.451767; 965.509143
8.342780; 21313.401625; 952.703763
8.402800; 21370.582905; 976.364380
8.462820; 21429.184295; 979.469926
8.522840; 21487.972080; 1008.711261
8.582860; 21548.514930; 1079.508518
8.642880; 21613.307031; 1168.281340
8.702900; 21683.427277; 1217.312947
8.762920; 21756.490400; 1220.361257
8.822940; 21829.736483; 1176.965530
8.882960; 21900.377954; 1101.369741
8.942980; 21966.482166; 1038.491082
9.003000; 22028.812401; 1011.672779
9.063020; 22089.533001; 1032.076352
9.123040; 22151.478224; 1018.708591
9.183060; 22212.621113; 968.912975
9.243080; 22270.775270; 864.882377
9.303100; 22322.685510; 846.529982
9.363120; 22373.494240; 918.675091
9.423140; 22428.633119; 992.511014
9.483160; 22488.203630; 970.348016
9.543180; 22546.443918; 893.627721
9.603200; 22600.079454; 854.663040
9.663220; 22651.376329; 882.870010
9.723240; 22704.366187; 954.344513
9.783260; 22761.645945; 992.112604
9.843280; 22821.192543; 1009.786441
9.903300; 22881.799926; 1047.442330
9.963320; 22944.667414; 1117.953770
10.023340; 23011.766999; 1165.634122
10.083360; 23081.728360; 1123.459548
10.143380; 23149.158402; 1041.591897
10.203400; 23211.674747; 909.650192
10.263420; 23266.271952; 812.579213
10.323440; 23315.042956; 793.287713
10.383460; 23362.656085; 870.779715
10.443480; 23414.920283; 962.124897
10.503500; 23472.667019; 1009.792529
10.563520; 23533.274767; 1045.715382
10.623540; 23596.038604; 1090.424639
10.683560; 23661.485891; 1102.486693
10.743580; 23727.657142; 1047.775064
10.803600; 23790.544602; 961.570672
10.863620; 23848.258073; 892.087662
10.923640; 23901.801175; 882.367114
10.983660; 23954.760849; 932.068935
11.043680; 24010.703627; 954.926827
11.103700; 24068.018335; 982.060405
11.163720; 24126.961600; 1008.492511
11.223740; 24187.491321; 1041.827548
11.283760; 24250.021810; 1037.488616
11.343780; 24312.291877; 1026.431094
11.403800; 24373.898271; 1057.826106
11.463820; 24437.388994; 1095.949747
11.523840; 24503.167898; 1083.965078
11.583860; 24568.227482; 1068.411633
11.643880; 24632.353548; 1036.279437
11.703900; 24694.551040; 986.137589
11.763920; 24753.739018; 942.771139
11.823940; 24810.324142; 947.211913
11.883960; 24867.175801; 943.682564
11.943980; 24923.815628; 904.506456
12.004000; 24978.104106; 872.377848
12.064020; 25030.464224; 877.107109
12.124040; 25083.108193; 922.630946
12.184060; 25138.484502; 971.861575
12.244080; 25196.815634; 996.398263
12.304100; 25256.619458; 1012.051855
12.364120; 25317.362810; 1019.865462
12.424140; 25378.575135; 1005.507596
12.484160; 25438.925701; 988.144692
12.544180; 25498.234145; 958.913003
12.604200; 25555.788104; 935.376147
12.664220; 25611.929380; 956.051987
12.724240; 25669.311621; 970.442192
