# Tau / ps;  Linear Fit to MSD / pm^2
30.0100;  39198.9959
30.1604;  39304.6834
30.3109;  39410.3709
30.4613;  39516.0585
30.6117;  39621.7460
30.7621;  39727.4335
30.9126;  39833.1211
31.0630;  39938.8086
31.2134;  40044.4961
31.3638;  40150.1836
31.5143;  40255.8712
31.6647;  40361.5587
31.8151;  40467.2462
31.9655;  40572.9338
32.1160;  40678.6213
32.2664;  40784.3088
32.4168;  40889.9963
32.5672;  40995.6839
32.7177;  41101.3714
32.8681;  41207.0589
33.0185;  41312.7465
33.1689;  41418.4340
33.3194;  41524.1215
33.4698;  41629.8091
33.6202;  41735.4966
33.7707;  41841.1841
33.9211;  41946.8716
34.0715;  42052.5592
34.2219;  42158.2467
34.3724;  42263.9342
34.5228;  42369.6218
34.6732;  42475.3093
34.8236;  42580.9968
34.9741;  42686.6843
35.1245;  42792.3719
35.2749;  42898.0594
35.4253;  43003.7469
35.5758;  43109.4345
35.7262;  43215.1220
35.8766;  43320.8095
36.0270;  43426.4970
36.1775;  43532.1846
36.3279;  43637.8721
36.4783;  43743.5596
36.6287;  43849.2472
36.7792;  43954.9347
36.9296;  44060.6222
37.0800;  44166.3098
37.2305;  44271.9973
37.3809;  44377.6848
37.5313;  44483.3723
37.6817;  44589.0599
37.8322;  44694.7474
37.9826;  44800.4349
38.1330;  44906.1225
38.2834;  45011.8100
38.4339;  45117.4975
38.5843;  45223.1850
38.7347;  45328.8726
38.8851;  45434.5601
39.0356;  45540.2476
39.1860;  45645.9352
39.3364;  45751.6227
39.4868;  45857.3102
39.6373;  45962.9978
39.7877;  46068.6853
39.9381;  46174.3728
40.0885;  46280.0603
40.2390;  46385.7479
40.3894;  46491.4354
40.5398;  46597.1229
40.6903;  46702.8105
40.8407;  46808.4980
40.9911;  46914.1855
41.1415;  47019.8730
41.2920;  47125.5606
41.4424;  47231.2481
41.5928;  47336.9356
41.7432;  47442.6232
41.8937;  47548.3107
42.0441;  47653.9982
42.1945;  47759.6857
42.3449;  47865.3733
42.4954;  47971.0608
42.6458;  48076.7483
42.7962;  48182.4359
42.9466;  48288.1234
43.0971;  48393.8109
43.2475;  48499.4985
43.3979;  48605.1860
43.5483;  48710.8735
43.6988;  48816.5610
43.8492;  48922.2486
43.9996;  49027.9361
44.1501;  49133.6236
44.3005;  49239.3112
44.4509;  49344.9987
44.6013;  49450.6862
44.7518;  49556.3737
44.9022;  49662.0613
45.0526;  49767.7488
45.2030;  49873.4363
45.3535;  49979.1239
45.5039;  50084.8114
45.6543;  50190.4989
45.8047;  50296.1864
45.9552;  50401.8740
46.1056;  50507.5615
46.2560;  50613.2490
46.4064;  50718.9366
46.5569;  50824.6241
46.7073;  50930.3116
46.8577;  51035.9992
47.0081;  51141.6867
47.1586;  51247.3742
47.3090;  51353.0617
47.4594;  51458.7493
47.6098;  51564.4368
47.7603;  51670.1243
47.9107;  51775.8119
48.0611;  51881.4994
48.2116;  51987.1869
48.3620;  52092.8744
48.5124;  52198.5620
48.6628;  52304.2495
48.8133;  52409.9370
48.9637;  52515.6246
49.1141;  52621.3121
49.2645;  52726.9996
49.4150;  52832.6872
49.5654;  52938.3747
49.7158;  53044.0622
49.8662;  53149.7497
50.0167;  53255.4373
50.1671;  53361.1248
50.3175;  53466.8123
50.4679;  53572.4999
50.6184;  53678.1874
50.7688;  53783.8749
50.9192;  53889.5624
51.0696;  53995.2500
51.2201;  54100.9375
51.3705;  54206.6250
51.5209;  54312.3126
51.6714;  54418.0001
51.8218;  54523.6876
51.9722;  54629.3751
52.1226;  54735.0627
52.2731;  54840.7502
52.4235;  54946.4377
52.5739;  55052.1253
52.7243;  55157.8128
52.8748;  55263.5003
53.0252;  55369.1879
53.1756;  55474.8754
53.3260;  55580.5629
53.4765;  55686.2504
53.6269;  55791.9380
53.7773;  55897.6255
53.9277;  56003.3130
54.0782;  56109.0006
54.2286;  56214.6881
54.3790;  56320.3756
54.5294;  56426.0631
54.6799;  56531.7507
54.8303;  56637.4382
54.9807;  56743.1257
55.1312;  56848.8133
55.2816;  56954.5008
55.4320;  57060.1883
55.5824;  57165.8759
55.7329;  57271.5634
55.8833;  57377.2509
56.0337;  57482.9384
56.1841;  57588.6260
56.3346;  57694.3135
56.4850;  57800.0010
56.6354;  57905.6886
56.7858;  58011.3761
56.9363;  58117.0636
57.0867;  58222.7511
57.2371;  58328.4387
57.3875;  58434.1262
57.5380;  58539.8137
57.6884;  58645.5013
57.8388;  58751.1888
57.9892;  58856.8763
58.1397;  58962.5638
58.2901;  59068.2514
58.4405;  59173.9389
58.5910;  59279.6264
58.7414;  59385.3140
58.8918;  59491.0015
59.0422;  59596.6890
59.1927;  59702.3766
59.3431;  59808.0641
59.4935;  59913.7516
59.6439;  60019.4391
59.7944;  60125.1267
59.9448;  60230.8142
