# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 25661.336715
0.060020; 1540.193430; 24349.981056
0.120040; 3001.679293; 21556.241560
0.180060; 4295.484911; 15755.667533
0.240080; 5241.140076; 10392.681867
0.300100; 5864.908842; 6828.163417
0.360120; 6274.735210; 5001.073816
0.420140; 6574.899661; 4016.855572
0.480160; 6815.991332; 3654.643809
0.540180; 7035.343054; 3247.823062
0.600200; 7230.277394; 2781.445572
0.660220; 7397.219757; 2379.114352
0.720240; 7540.014200; 2152.110866
0.780260; 7669.183895; 2015.685196
0.840280; 7790.165320; 1902.940000
0.900300; 7904.379779; 1802.198990
0.960320; 8012.547762; 1699.397297
1.020340; 8114.545588; 1627.123501
1.080360; 8212.205541; 1552.074276
1.140380; 8305.361039; 1495.045945
1.200400; 8395.093696; 1447.747010
1.260420; 8481.987472; 1408.794104
1.320440; 8566.543294; 1391.577913
1.380460; 8650.065800; 1384.023690
1.440480; 8733.134902; 1339.058272
1.500500; 8813.505180; 1297.187190
1.560520; 8891.362355; 1276.273486
1.620540; 8967.964289; 1283.520616
1.680560; 9045.001197; 1224.638117
1.740580; 9118.503976; 1192.502105
1.800600; 9190.077953; 1143.523445
1.860620; 9258.712230; 1144.738414
1.920640; 9327.419430; 1177.889398
1.980660; 9398.116351; 1195.434577
2.040680; 9469.866335; 1208.973437
2.100700; 9542.428920; 1219.914550
2.160720; 9615.648192; 1229.374052
2.220740; 9689.435222; 1283.005125
2.280760; 9766.441190; 1338.622213
2.340780; 9846.785295; 1382.601849
2.400800; 9929.769058; 1423.226438
2.460820; 10015.191109; 1424.352023
2.520840; 10100.680717; 1418.907914
2.580860; 10185.843570; 1432.914146
2.640880; 10271.847077; 1440.046556
2.700900; 10358.278672; 1439.389563
2.760920; 10444.670833; 1452.676962
2.820940; 10531.860504; 1448.003081
2.880960; 10618.769649; 1456.583527
2.940980; 10706.193793; 1423.767730
3.001000; 10791.648332; 1381.346739
3.061020; 10874.556763; 1352.100307
3.121040; 10955.709823; 1340.780945
3.181060; 11036.183496; 1368.332005
3.241080; 11118.310783; 1400.163244
3.301100; 11202.348581; 1382.444488
3.361120; 11285.322899; 1364.108384
3.421140; 11367.196684; 1349.796596
3.481160; 11448.211476; 1329.614146
3.541180; 11528.014917; 1318.294487
3.601200; 11607.138952; 1324.017684
3.661220; 11686.606493; 1346.660613
3.721240; 11767.433063; 1384.932721
3.781260; 11850.556725; 1379.578818
3.841280; 11933.359046; 1379.153615
3.901300; 12016.135846; 1390.467492
3.961320; 12099.591705; 1380.884937
4.021340; 12182.472419; 1356.921409
4.081360; 12263.914841; 1327.014682
4.141380; 12343.562263; 1305.772259
4.201400; 12421.934714; 1318.339858
4.261420; 12501.061472; 1288.888015
4.321440; 12578.420531; 1262.453616
4.381460; 12654.192997; 1187.413636
4.441480; 12725.461563; 1130.314808
4.501500; 12793.303058; 1089.701125
4.561520; 12858.706919; 1071.355544
4.621540; 12923.009679; 1041.972497
4.681560; 12985.548868; 1028.257666
4.741580; 13047.264894; 1018.433782
4.801600; 13108.391289; 1037.264468
4.861620; 13170.647902; 1046.944640
4.921640; 13233.485520; 1054.896300
4.981660; 13296.800396; 1057.687424
5.041680; 13360.282795; 1062.474778
5.101700; 13424.052531; 1076.982503
5.161720; 13488.693021; 1097.881038
5.221740; 13554.587841; 1125.904179
5.281760; 13622.164609; 1136.148577
5.341780; 13690.356247; 1116.488610
5.401800; 13757.367893; 1144.131397
5.461820; 13826.038660; 1149.844871
5.521840; 13895.052349; 1216.380732
5.581860; 13968.059521; 1274.451380
5.641880; 14044.552092; 1284.939372
5.701900; 14121.674153; 1256.470147
5.761920; 14197.087492; 1213.934400
5.821940; 14269.947834; 1182.095254
5.881960; 14340.897192; 1164.094226
5.941980; 14410.766127; 1163.593955
6.002000; 14480.605036; 1173.452539
