# Tau / ps;  Linear Fit to MSD / pm^2
30.0100;  38243.0954
30.1604;  38380.7624
30.3109;  38518.4294
30.4613;  38656.0963
30.6117;  38793.7633
30.7621;  38931.4303
30.9126;  39069.0972
31.0630;  39206.7642
31.2134;  39344.4312
31.3638;  39482.0981
31.5143;  39619.7651
31.6647;  39757.4321
31.8151;  39895.0990
31.9655;  40032.7660
32.1160;  40170.4330
32.2664;  40308.0999
32.4168;  40445.7669
32.5672;  40583.4339
32.7177;  40721.1008
32.8681;  40858.7678
33.0185;  40996.4348
33.1689;  41134.1017
33.3194;  41271.7687
33.4698;  41409.4357
33.6202;  41547.1026
33.7707;  41684.7696
33.9211;  41822.4366
34.0715;  41960.1035
34.2219;  42097.7705
34.3724;  42235.4375
34.5228;  42373.1044
34.6732;  42510.7714
34.8236;  42648.4383
34.9741;  42786.1053
35.1245;  42923.7723
35.2749;  43061.4392
35.4253;  43199.1062
35.5758;  43336.7732
35.7262;  43474.4401
35.8766;  43612.1071
36.0270;  43749.7741
36.1775;  43887.4410
36.3279;  44025.1080
36.4783;  44162.7750
36.6287;  44300.4419
36.7792;  44438.1089
36.9296;  44575.7759
37.0800;  44713.4428
37.2305;  44851.1098
37.3809;  44988.7768
37.5313;  45126.4437
37.6817;  45264.1107
37.8322;  45401.7777
37.9826;  45539.4446
38.1330;  45677.1116
38.2834;  45814.7786
38.4339;  45952.4455
38.5843;  46090.1125
38.7347;  46227.7795
38.8851;  46365.4464
39.0356;  46503.1134
39.1860;  46640.7804
39.3364;  46778.4473
39.4868;  46916.1143
39.6373;  47053.7813
39.7877;  47191.4482
39.9381;  47329.1152
40.0885;  47466.7822
40.2390;  47604.4491
40.3894;  47742.1161
40.5398;  47879.7831
40.6903;  48017.4500
40.8407;  48155.1170
40.9911;  48292.7840
41.1415;  48430.4509
41.2920;  48568.1179
41.4424;  48705.7849
41.5928;  48843.4518
41.7432;  48981.1188
41.8937;  49118.7858
42.0441;  49256.4527
42.1945;  49394.1197
42.3449;  49531.7867
42.4954;  49669.4536
42.6458;  49807.1206
42.7962;  49944.7876
42.9466;  50082.4545
43.0971;  50220.1215
43.2475;  50357.7885
43.3979;  50495.4554
43.5483;  50633.1224
43.6988;  50770.7893
43.8492;  50908.4563
43.9996;  51046.1233
44.1501;  51183.7902
44.3005;  51321.4572
44.4509;  51459.1242
44.6013;  51596.7911
44.7518;  51734.4581
44.9022;  51872.1251
45.0526;  52009.7920
45.2030;  52147.4590
45.3535;  52285.1260
45.5039;  52422.7929
45.6543;  52560.4599
45.8047;  52698.1269
45.9552;  52835.7938
46.1056;  52973.4608
46.2560;  53111.1278
46.4064;  53248.7947
46.5569;  53386.4617
46.7073;  53524.1287
46.8577;  53661.7956
47.0081;  53799.4626
47.1586;  53937.1296
47.3090;  54074.7965
47.4594;  54212.4635
47.6098;  54350.1305
47.7603;  54487.7974
47.9107;  54625.4644
48.0611;  54763.1314
48.2116;  54900.7983
48.3620;  55038.4653
48.5124;  55176.1323
48.6628;  55313.7992
48.8133;  55451.4662
48.9637;  55589.1332
49.1141;  55726.8001
49.2645;  55864.4671
49.4150;  56002.1341
49.5654;  56139.8010
49.7158;  56277.4680
49.8662;  56415.1350
50.0167;  56552.8019
50.1671;  56690.4689
50.3175;  56828.1359
50.4679;  56965.8028
50.6184;  57103.4698
50.7688;  57241.1368
50.9192;  57378.8037
51.0696;  57516.4707
51.2201;  57654.1377
51.3705;  57791.8046
51.5209;  57929.4716
51.6714;  58067.1386
51.8218;  58204.8055
51.9722;  58342.4725
52.1226;  58480.1395
52.2731;  58617.8064
52.4235;  58755.4734
52.5739;  58893.1403
52.7243;  59030.8073
52.8748;  59168.4743
53.0252;  59306.1412
53.1756;  59443.8082
53.3260;  59581.4752
53.4765;  59719.1421
53.6269;  59856.8091
53.7773;  59994.4761
53.9277;  60132.1430
54.0782;  60269.8100
54.2286;  60407.4770
54.3790;  60545.1439
54.5294;  60682.8109
54.6799;  60820.4779
54.8303;  60958.1448
54.9807;  61095.8118
55.1312;  61233.4788
55.2816;  61371.1457
55.4320;  61508.8127
55.5824;  61646.4797
55.7329;  61784.1466
55.8833;  61921.8136
56.0337;  62059.4806
56.1841;  62197.1475
56.3346;  62334.8145
56.4850;  62472.4815
56.6354;  62610.1484
56.7858;  62747.8154
56.9363;  62885.4824
57.0867;  63023.1493
57.2371;  63160.8163
57.3875;  63298.4833
57.5380;  63436.1502
57.6884;  63573.8172
57.8388;  63711.4842
57.9892;  63849.1511
58.1397;  63986.8181
58.2901;  64124.4851
58.4405;  64262.1520
58.5910;  64399.8190
58.7414;  64537.4860
58.8918;  64675.1529
59.0422;  64812.8199
59.1927;  64950.4869
59.3431;  65088.1538
59.4935;  65225.8208
59.6439;  65363.4878
59.7944;  65501.1547
59.9448;  65638.8217
