# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 20098.868370
0.060020; 1206.334080; 26549.731380
0.120040; 2799.848957; 23750.112489
0.180060; 4225.330709; 16888.827769
0.240080; 5238.998151; 9927.103264
0.300100; 5834.822889; 5475.270942
0.360120; 6163.448651; 3806.679058
0.420140; 6391.925528; 3434.048530
0.480160; 6598.037121; 3397.654352
0.540180; 6801.964335; 2994.777503
0.600200; 6981.710881; 2494.295217
0.660220; 7131.418480; 2141.034999
0.720240; 7259.923401; 1957.734925
0.780260; 7377.426651; 1850.567455
0.840280; 7488.497709; 1728.833743
0.900300; 7592.262311; 1638.964510
0.960320; 7690.632961; 1519.766815
1.020340; 7781.849365; 1439.411198
1.080360; 7868.242825; 1369.466053
1.140380; 7950.438177; 1311.578908
1.200400; 8029.159143; 1266.582307
1.260420; 8105.179414; 1218.188960
1.320440; 8178.295115; 1207.905429
1.380460; 8250.793599; 1196.852720
1.440480; 8322.628699; 1147.477066
1.500500; 8391.500273; 1109.555440
1.560520; 8458.095790; 1131.254839
1.620540; 8525.993705; 1122.433177
1.680560; 8593.362145; 1055.754579
1.740580; 8656.728535; 1030.627647
1.800600; 8718.586806; 980.661416
1.860620; 8777.446104; 965.822891
1.920640; 8835.414794; 988.114877
1.980660; 8894.721449; 1020.866170
2.040680; 8955.993837; 1059.282070
2.100700; 9019.571946; 1068.550852
2.160720; 9083.706369; 1084.188998
2.220740; 9148.779392; 1126.511746
2.280760; 9216.392627; 1187.945342
2.340780; 9287.693107; 1243.034401
2.400800; 9362.300031; 1285.781961
2.460820; 9439.472665; 1266.565456
2.520840; 9515.491923; 1263.275548
2.580860; 9591.313722; 1273.793921
2.640880; 9667.766833; 1298.136680
2.700900; 9745.680996; 1287.673058
2.760920; 9822.967133; 1281.941293
2.820940; 9899.909250; 1291.068250
2.880960; 9977.399166; 1306.029276
2.940980; 10055.787043; 1292.542843
3.001000; 10133.365465; 1248.294717
3.061020; 10208.288114; 1196.278392
3.121040; 10280.088743; 1178.399749
3.181060; 10350.816296; 1226.533338
3.241080; 10424.432827; 1277.834370
3.301100; 10501.128445; 1264.552056
3.361120; 10577.026860; 1239.611597
3.421140; 10651.428348; 1221.661008
3.481160; 10724.752442; 1190.365987
3.541180; 10796.198208; 1169.337993
3.601200; 10866.381874; 1170.357292
3.661220; 10936.626719; 1192.779470
3.721240; 11008.217343; 1219.277585
3.781260; 11081.398384; 1221.096665
3.841280; 11154.688605; 1221.177519
3.901300; 11227.983680; 1232.031409
3.961320; 11301.930205; 1235.089305
4.021340; 11376.060265; 1209.109616
4.081360; 11448.631025; 1194.731545
4.141380; 11520.338812; 1183.146754
4.201400; 11591.351280; 1193.401551
4.261420; 11662.979241; 1168.029325
4.321440; 11733.084361; 1123.918275
4.381460; 11800.541936; 1040.139664
4.441480; 11862.971119; 980.690284
4.501500; 11921.832150; 951.916169
4.561520; 11978.966158; 922.766681
4.621540; 12034.350614; 907.166437
4.681560; 12088.798744; 888.571369
4.741580; 12142.130797; 899.037289
4.801600; 12196.091015; 924.099054
4.861620; 12251.555441; 917.796063
4.921640; 12306.641560; 911.055685
4.981660; 12361.323123; 917.652618
5.041680; 12416.400633; 926.214787
5.101700; 12471.992044; 940.070227
5.161720; 12528.415059; 952.438932
5.221740; 12585.580444; 995.276921
