# Tau / ps;  Linear Fit to MSD / pm^2
30.0100;  34841.6234
30.1604;  34968.1727
30.3109;  35094.7220
30.4613;  35221.2714
30.6117;  35347.8207
30.7621;  35474.3700
30.9126;  35600.9194
31.0630;  35727.4687
31.2134;  35854.0180
31.3638;  35980.5674
31.5143;  36107.1167
31.6647;  36233.6660
31.8151;  36360.2154
31.9655;  36486.7647
32.1160;  36613.3140
32.2664;  36739.8634
32.4168;  36866.4127
32.5672;  36992.9620
32.7177;  37119.5114
32.8681;  37246.0607
33.0185;  37372.6100
33.1689;  37499.1594
33.3194;  37625.7087
33.4698;  37752.2580
33.6202;  37878.8074
33.7707;  38005.3567
33.9211;  38131.9060
34.0715;  38258.4553
34.2219;  38385.0047
34.3724;  38511.5540
34.5228;  38638.1033
34.6732;  38764.6527
34.8236;  38891.2020
34.9741;  39017.7513
35.1245;  39144.3007
35.2749;  39270.8500
35.4253;  39397.3993
35.5758;  39523.9487
35.7262;  39650.4980
35.8766;  39777.0473
36.0270;  39903.5967
36.1775;  40030.1460
36.3279;  40156.6953
36.4783;  40283.2447
36.6287;  40409.7940
36.7792;  40536.3433
36.9296;  40662.8927
37.0800;  40789.4420
37.2305;  40915.9913
37.3809;  41042.5407
37.5313;  41169.0900
37.6817;  41295.6393
37.8322;  41422.1887
37.9826;  41548.7380
38.1330;  41675.2873
38.2834;  41801.8366
38.4339;  41928.3860
38.5843;  42054.9353
38.7347;  42181.4846
38.8851;  42308.0340
39.0356;  42434.5833
39.1860;  42561.1326
39.3364;  42687.6820
39.4868;  42814.2313
39.6373;  42940.7806
39.7877;  43067.3300
39.9381;  43193.8793
40.0885;  43320.4286
40.2390;  43446.9780
40.3894;  43573.5273
40.5398;  43700.0766
40.6903;  43826.6260
40.8407;  43953.1753
40.9911;  44079.7246
41.1415;  44206.2740
41.2920;  44332.8233
41.4424;  44459.3726
41.5928;  44585.9220
41.7432;  44712.4713
41.8937;  44839.0206
42.0441;  44965.5700
42.1945;  45092.1193
42.3449;  45218.6686
42.4954;  45345.2179
42.6458;  45471.7673
42.7962;  45598.3166
42.9466;  45724.8659
43.0971;  45851.4153
43.2475;  45977.9646
43.3979;  46104.5139
43.5483;  46231.0633
43.6988;  46357.6126
43.8492;  46484.1619
43.9996;  46610.7113
44.1501;  46737.2606
44.3005;  46863.8099
44.4509;  46990.3593
44.6013;  47116.9086
44.7518;  47243.4579
44.9022;  47370.0073
45.0526;  47496.5566
45.2030;  47623.1059
45.3535;  47749.6553
45.5039;  47876.2046
45.6543;  48002.7539
45.8047;  48129.3033
45.9552;  48255.8526
46.1056;  48382.4019
46.2560;  48508.9513
46.4064;  48635.5006
46.5569;  48762.0499
46.7073;  48888.5993
46.8577;  49015.1486
47.0081;  49141.6979
47.1586;  49268.2472
47.3090;  49394.7966
47.4594;  49521.3459
47.6098;  49647.8952
47.7603;  49774.4446
47.9107;  49900.9939
48.0611;  50027.5432
48.2116;  50154.0926
48.3620;  50280.6419
48.5124;  50407.1912
48.6628;  50533.7406
48.8133;  50660.2899
48.9637;  50786.8392
49.1141;  50913.3886
49.2645;  51039.9379
49.4150;  51166.4872
49.5654;  51293.0366
49.7158;  51419.5859
49.8662;  51546.1352
50.0167;  51672.6846
50.1671;  51799.2339
50.3175;  51925.7832
50.4679;  52052.3326
50.6184;  52178.8819
50.7688;  52305.4312
50.9192;  52431.9806
51.0696;  52558.5299
51.2201;  52685.0792
51.3705;  52811.6285
51.5209;  52938.1779
51.6714;  53064.7272
51.8218;  53191.2765
51.9722;  53317.8259
52.1226;  53444.3752
52.2731;  53570.9245
52.4235;  53697.4739
52.5739;  53824.0232
52.7243;  53950.5725
52.8748;  54077.1219
53.0252;  54203.6712
53.1756;  54330.2205
53.3260;  54456.7699
53.4765;  54583.3192
53.6269;  54709.8685
53.7773;  54836.4179
53.9277;  54962.9672
54.0782;  55089.5165
54.2286;  55216.0659
54.3790;  55342.6152
54.5294;  55469.1645
54.6799;  55595.7139
54.8303;  55722.2632
54.9807;  55848.8125
55.1312;  55975.3619
55.2816;  56101.9112
55.4320;  56228.4605
55.5824;  56355.0098
55.7329;  56481.5592
55.8833;  56608.1085
56.0337;  56734.6578
56.1841;  56861.2072
56.3346;  56987.7565
56.4850;  57114.3058
56.6354;  57240.8552
56.7858;  57367.4045
56.9363;  57493.9538
57.0867;  57620.5032
57.2371;  57747.0525
57.3875;  57873.6018
57.5380;  58000.1512
57.6884;  58126.7005
57.8388;  58253.2498
57.9892;  58379.7992
58.1397;  58506.3485
58.2901;  58632.8978
58.4405;  58759.4472
58.5910;  58885.9965
58.7414;  59012.5458
58.8918;  59139.0952
59.0422;  59265.6445
59.1927;  59392.1938
59.3431;  59518.7432
59.4935;  59645.2925
59.6439;  59771.8418
59.7944;  59898.3911
59.9448;  60024.9405
